,store,area,address,phone
74,북대전점,대전,"대전 유성구 대덕대로 1097 (송강동 141-2, 1,2층)",042.934.8597
75,목포 옥암법원점,전라남도,전라남도 목포시 정의로 10,061.282.8497
76,광주매곡점,광주,광주광역시 북구 서하로 79,062.575.2292
77,부산당감점,부산,"부산 부산진구 동평로 83, 1층",051.892.8497
78,진영(부산) 휴게소점,경상남도,경남 김해시 진영읍 하계로 96번길 94-4 진영(부산)휴게소,055.334.8700
79,성산포수협,제주도,제주 서귀포시 성산읍 성산등용로 91,064.782.3169
80,제주한림점,제주도,제주도 제주시 한림읍 한림남1길 3,064.796.4557
81,장안사거리점,서울,"서울시 동대문구 장한로 130, 1층",02.3394.8497
82,울산무궁화점,울산,울산광역시 남구 돋질로 359,052.227.8498
83,김천교동 D/T,경상북도,"경상북도 김천시 대학로 75, 나동 1-2층(교동)",054.435.8497
84,인천D/T,인천,"인천 연수구 비류대로 11, 2동",032.831.8497
85,대전송촌점,대전,"대전시 대덕구 계족산로 81번길 101, 1층(송촌동)",042.632.8497
86,청주죽림 D/I,충청북도,충청북도 청주시 서원구 대림로 427 1층,043.231.8497
87,대전카이스트점,대전,대전 유성구 대학로 291,042.863.8497
88,부산개금백뱅원점,부산,"부산 부산진구 엄광로 37 1, 2층",051.897.8497
89,마산역 D/I,경상남도,"경남 창원시 마산회원구 3.15대로 703, 1층(석전동)",055.253.1717
